letter,count_all,count_uppercase,percentage
n,1,1,0.58%
e,26,1,15.20%
w,2,0,1.17%
s,10,2,5.85%
m,4,4,2.34%
a,16,1,9.36%
j,4,0,2.34%
o,7,1,4.09%
r,15,2,8.77%
v,3,0,1.75%
n,9,1,5.26%
t,9,0,5.26%
h,3,1,1.75%
p,3,2,1.75%
i,10,0,5.85%
g,4,0,2.34%
c,5,1,2.92%
y,4,0,2.34%
c,1,1,0.58%
h,1,1,0.58%
d,7,2,4.09%
b,2,1,1.17%
d,2,2,1.17%
p,2,2,1.17%
a,1,1,0.58%
b,1,1,0.58%
f,2,0,1.17%
l,3,1,1.75%
e,1,1,0.58%
x,1,0,0.58%
l,1,1,0.58%
u,1,1,0.58%
q,1,0,0.58%
u,2,1,1.17%
r,2,2,1.17%
o,1,1,0.58%
s,2,2,1.17%
m,2,4,1.17%
